epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.34552,2.49507,0.66429,0.94643,1.309,0.000180038,0.000180038,0.000180038
2,19.488,1.24026,0.93929,1,0.19411,0.000358137,0.000358137,0.000358137
3,28.5892,0.49868,0.98214,1,0.05454,0.000528897,0.000528897,0.000528897
4,37.6395,0.30588,0.99464,1,0.03135,0.000522974,0.000522974,0.000522974
5,46.6466,0.22457,0.99643,1,0.03352,0.000511965,0.000511965,0.000511965
6,55.6956,0.19129,0.99464,1,0.03512,0.000500956,0.000500956,0.000500956
7,64.7509,0.17667,0.99643,1,0.01451,0.000489947,0.000489947,0.000489947
8,73.8294,0.17789,0.99464,1,0.03141,0.000478938,0.000478938,0.000478938
9,82.9198,0.14646,1,1,0.00988,0.00046793,0.00046793,0.00046793
10,92.0582,0.16133,0.9875,1,0.03473,0.000456921,0.000456921,0.000456921
11,101.197,0.12135,0.99821,1,0.01463,0.000445912,0.000445912,0.000445912
12,110.428,0.14115,0.99821,1,0.02482,0.000434903,0.000434903,0.000434903
13,119.574,0.12,0.99821,1,0.02044,0.000423894,0.000423894,0.000423894
14,128.756,0.14575,0.95,1,0.07241,0.000412886,0.000412886,0.000412886
15,137.935,0.11077,0.98393,1,0.0471,0.000401877,0.000401877,0.000401877
16,147.64,0.13551,0.99107,1,0.03004,0.000390868,0.000390868,0.000390868
17,157.14,0.11149,0.975,1,0.04291,0.000379859,0.000379859,0.000379859
18,166.677,0.09651,1,1,0.01807,0.00036885,0.00036885,0.00036885
19,176.482,0.11005,0.96786,1,0.06631,0.000357842,0.000357842,0.000357842
1,9.54874,2.49507,0.66429,0.94643,1.309,0.000180038,0.000180038,0.000180038
2,19.3171,1.24026,0.93929,1,0.19411,0.000358137,0.000358137,0.000358137
3,28.8179,0.49868,0.98214,1,0.05454,0.000528897,0.000528897,0.000528897
4,38.0512,0.30588,0.99464,1,0.03135,0.000522974,0.000522974,0.000522974
5,47.2643,0.22457,0.99643,1,0.03352,0.000511965,0.000511965,0.000511965
6,56.7097,0.19129,0.99464,1,0.03512,0.000500956,0.000500956,0.000500956
7,66.5322,0.17667,0.99643,1,0.01451,0.000489947,0.000489947,0.000489947
8,76.4663,0.17789,0.99464,1,0.03141,0.000478938,0.000478938,0.000478938
9,86.5577,0.14646,1,1,0.00988,0.00046793,0.00046793,0.00046793
10,96.5733,0.16133,0.9875,1,0.03473,0.000456921,0.000456921,0.000456921
11,106.247,0.12135,0.99821,1,0.01463,0.000445912,0.000445912,0.000445912
12,115.904,0.14115,0.99821,1,0.02482,0.000434903,0.000434903,0.000434903
13,125.272,0.12,0.99821,1,0.02044,0.000423894,0.000423894,0.000423894
14,134.948,0.14575,0.95,1,0.07241,0.000412886,0.000412886,0.000412886
15,144.35,0.11077,0.98393,1,0.0471,0.000401877,0.000401877,0.000401877
16,153.766,0.13551,0.99107,1,0.03004,0.000390868,0.000390868,0.000390868
17,163.342,0.11149,0.975,1,0.04291,0.000379859,0.000379859,0.000379859
18,172.82,0.09651,1,1,0.01807,0.00036885,0.00036885,0.00036885
19,182.284,0.11005,0.96786,1,0.06631,0.000357842,0.000357842,0.000357842
